Bathrooms,Bedrooms,Garage,House_Type,Neighborhood,Pool,Property_ID,Renovated_Year,Sale_Price,Square_Feet,Year_Built
4.5,5,1,Condo,Society Hill,0,45,,1381608,5992,1900
4.0,5,2,Mansion,Fishtown,0,46,2020,163232,4725,1920
4.5,5,2,Row House,Fairmount,1,47,2018,1156941,5688,1920
3.5,4,2,Apartment,Society Hill,0,48,2015,670993,6884,1992
1.0,3,2,Loft,Fairmount,1,49,2020,525603,3879,1905
4.0,1,0,Mansion,Center City,0,50,,754763,6844,1915
2.5,1,1,Townhouse,Center City,1,51,2015,887490,5255,1967
3.5,1,0,Row House,Rittenhouse Square,0,52,2018,638174,5969,1933
3.5,1,2,Single Family,Bella Vista,1,53,2015,818070,3326,1996
2.5,6,0,Single Family,Bella Vista,1,54,2015,199991,5506,1958
4.0,2,2,Condo,Old City,1,55,2020,354190,4102,1940
4.0,3,1,Mansion,Chestnut Hill,0,56,2018,914887,2436,1989
2.5,6,1,Loft,Rittenhouse Square,1,57,2015,263826,4320,1916
4.0,6,1,Mansion,University City,0,58,,804425,2659,1916
3.5,5,0,Row House,Rittenhouse Square,1,59,2018,1457625,5509,2014
4.5,4,1,Row House,Northern Liberties,1,60,,364963,2515,1950
1.5,4,2,Townhouse,Chestnut Hill,0,61,2010,932086,3666,1967
5.0,5,1,Apartment,University City,1,62,2020,394912,3036,1937
1.5,2,0,Mansion,University City,1,63,2010,1062755,1770,1916
5.0,6,2,Single Family,Society Hill,1,64,2010,566655,3312,1904
1.5,4,2,Mansion,Northern Liberties,1,65,2010,1498703,4724,2020
3.5,4,0,Mansion,Northern Liberties,1,66,2010,542117,1452,1993
1.0,5,1,Apartment,Fishtown,1,67,2018,1489307,2846,1927
5.0,4,0,Single Family,Old City,0,68,,302600,2472,1938
1.0,2,2,Mansion,Society Hill,0,69,2018,1076053,1379,2010
4.5,6,2,Townhouse,Fairmount,1,70,,1020619,1435,1995
2.0,4,1,Condo,Center City,1,71,,564497,2325,1921
5.0,1,0,Row House,Fishtown,0,72,2018,827781,6345,1960
1.0,6,0,Single Family,Bella Vista,1,73,,1319779,5244,1933
3.0,2,2,Single Family,Northern Liberties,1,74,2010,1246690,2625,1906
1.5,1,0,Row House,Rittenhouse Square,1,75,2020,874649,4136,2019
3.0,1,0,Condo,Rittenhouse Square,0,76,2015,477213,6147,1960
1.5,6,2,Single Family,Old City,0,77,2015,1266572,3120,1936
4.0,6,1,Apartment,Rittenhouse Square,1,78,,1076489,4776,1968
1.0,1,0,Townhouse,Rittenhouse Square,1,79,2015,1089946,2861,1934
5.0,6,1,Condo,Fishtown,0,80,2018,1126373,1620,1958
1.0,6,2,Apartment,Rittenhouse Square,1,81,2010,327394,6570,1952
2.0,4,1,Single Family,Rittenhouse Square,0,82,2020,1009235,3986,1919
2.5,4,0,Condo,Chestnut Hill,0,83,2018,1427384,1174,1928
4.5,2,1,Row House,Rittenhouse Square,1,84,2018,1441321,6416,1928
4.0,2,0,Loft,Fishtown,0,85,2020,302398,6112,1955
1.5,5,2,Condo,Society Hill,1,86,2010,950589,2522,1914
1.5,4,1,Loft,Bella Vista,1,87,2018,1019888,3527,1987
2.5,3,1,Single Family,Bella Vista,0,88,,1198911,5868,1956
5.0,5,1,Townhouse,Center City,0,89,2020,1182357,6973,1938
4.5,3,2,Apartment,University City,1,90,,600325,820,1944
4.5,4,2,Row House,Bella Vista,0,91,2018,661425,2240,1983
2.5,4,2,Condo,Northern Liberties,1,92,2018,650330,1842,1949
1.5,5,2,Townhouse,Fishtown,1,93,2020,401654,5962,2011
1.5,1,2,Townhouse,Center City,0,94,2018,1002238,4139,1974
1.0,3,2,Apartment,Bella Vista,0,95,2018,210900,2279,1990
3.0,2,2,Condo,Center City,0,96,2018,1288861,4838,1947
2.5,1,1,Condo,University City,1,97,2020,1228024,2711,1972
5.0,6,1,Apartment,Fairmount,0,98,2020,438217,2016,1977
2.0,3,2,Townhouse,Rittenhouse Square,0,99,2015,869757,2432,1954
1.0,2,0,Condo,Fairmount,1,100,2018,1024464,4264,1928
5.0,1,2,Row House,Center City,1,101,2018,1300988,854,1936
5.0,5,2,Loft,Fishtown,0,102,2018,1411196,5283,1920
4.5,3,1,Single Family,Fairmount,0,103,2015,993481,1446,1950
3.0,1,1,Condo,Center City,1,104,2020,527199,6066,2016
1.5,3,1,Row House,Society Hill,1,105,2020,1399890,4324,1933
2.0,1,0,Townhouse,Bella Vista,1,106,,712329,4208,1912
4.0,1,0,Apartment,Northern Liberties,1,107,2018,218056,3706,2022
2.5,4,0,Row House,Center City,1,108,,1462064,3475,1959
1.0,3,2,Row House,Fairmount,1,109,,570079,5139,2013
2.0,5,2,Condo,Society Hill,1,110,2020,562868,4027,1985
2.5,3,2,Apartment,Fairmount,0,111,2015,187770,6688,2014
3.5,6,1,Apartment,Northern Liberties,0,112,2015,180204,6716,1980
3.0,4,0,Row House,Fairmount,1,113,,1420279,5502,1921
2.0,2,2,Row House,Fishtown,0,114,2020,1235345,4670,1961
4.0,5,2,Townhouse,Fishtown,1,115,2010,1305802,3917,1964
4.0,5,1,Mansion,Fairmount,1,116,,292309,5480,1970
4.0,2,1,Loft,Fishtown,0,117,2018,325059,860,1933
4.0,6,2,Loft,Rittenhouse Square,0,118,2010,1294253,4529,1971
2.5,3,0,Condo,University City,1,119,,388462,2034,1950
3.5,3,1,Apartment,Fairmount,1,120,2018,519888,6994,1921
3.5,5,2,Mansion,Northern Liberties,0,121,,670307,2074,1921
1.0,6,1,Single Family,University City,1,122,2015,919223,3966,1986
5.0,4,1,Row House,Rittenhouse Square,0,123,2015,445614,2798,1925
5.0,2,1,Loft,Old City,0,124,2020,1256983,1359,1937
2.5,3,2,Mansion,Chestnut Hill,0,125,2020,412104,4406,1999
2.0,1,1,Single Family,Fairmount,1,126,2018,1000636,943,1944
2.0,2,0,Loft,Fishtown,0,127,2015,1269846,4855,1949
1.0,6,1,Row House,Center City,1,128,2020,406294,1694,1904
5.0,5,1,Loft,Center City,1,129,2018,618139,3387,1920
1.5,5,1,Loft,Old City,0,130,2010,739117,6721,2018
2.0,5,0,Mansion,Center City,1,131,2018,593386,5141,2020
3.5,2,1,Apartment,Old City,0,132,2018,860043,4344,1932
4.5,2,2,Condo,Fishtown,0,133,2018,323748,5852,1920
2.5,1,0,Single Family,Fishtown,0,134,,527037,4207,1919
3.5,2,0,Townhouse,Chestnut Hill,1,135,,1388087,4187,1974
3.0,1,1,Apartment,Chestnut Hill,1,136,2015,1075237,5271,1902
3.5,2,2,Mansion,Chestnut Hill,1,137,2018,1090523,930,2005
3.0,3,2,Single Family,Fairmount,0,138,2020,1265951,2474,2015
5.0,4,1,Row House,Fishtown,0,139,2018,1434588,4014,1927
3.5,3,1,Loft,Fairmount,0,140,2015,470854,6048,2017
2.5,4,0,Condo,Center City,0,141,2020,838313,5319,2008
4.5,6,2,Row House,Chestnut Hill,0,142,,320459,6959,1961
1.5,5,2,Condo,Chestnut Hill,1,143,2020,356033,1650,2012
4.0,1,0,Row House,Fishtown,1,144,2015,672406,6160,1941
5.0,2,0,Single Family,Chestnut Hill,0,145,2018,487887,1599,2007
4.0,1,0,Townhouse,Fairmount,1,146,2020,704372,6633,1930
2.5,3,0,Mansion,Chestnut Hill,1,147,2018,1243533,1801,2015
1.0,6,1,Row House,Rittenhouse Square,1,148,2018,170875,3658,1993
2.0,5,2,Single Family,Fishtown,0,149,2010,446882,1433,1931
3.0,3,1,Mansion,Center City,1,150,2020,742104,6023,1983
1.0,4,1,Loft,Rittenhouse Square,0,151,2018,1034640,6532,1946
2.5,5,1,Single Family,Fishtown,1,152,2010,905917,5731,1956
3.0,4,1,Row House,Old City,0,153,2020,725221,5840,1925
1.0,4,0,Townhouse,Northern Liberties,1,154,,512454,1589,2000
1.0,1,1,Mansion,Chestnut Hill,0,155,2018,702854,5060,1964
4.0,1,0,Loft,Center City,1,156,2018,433801,5812,1932
3.0,2,2,Condo,Chestnut Hill,1,157,2020,671247,1671,1948
2.5,2,1,Mansion,Bella Vista,1,158,2015,789523,4863,1980
4.0,5,1,Single Family,Northern Liberties,0,159,2018,735749,3857,1905
3.5,1,2,Single Family,Center City,1,160,2015,1205772,1195,1990
1.5,1,0,Mansion,Northern Liberties,0,161,2020,1459093,6938,2002
1.5,5,1,Single Family,Old City,1,162,2020,1236096,5560,1973
4.0,5,2,Mansion,Bella Vista,0,163,2010,1452782,2801,1993
3.5,5,2,Single Family,Fishtown,1,164,2015,943415,4204,1917
3.5,2,1,Row House,University City,1,165,2020,1183039,6554,1942
2.5,2,2,Condo,Chestnut Hill,0,166,2010,1338390,993,2006
4.0,2,0,Row House,Center City,1,167,2010,1437263,3354,1994
3.0,5,1,Townhouse,Rittenhouse Square,1,168,2020,584538,2449,1989
1.5,5,1,Loft,Northern Liberties,0,169,2010,464642,3269,1989
3.0,2,0,Condo,Old City,0,170,2018,501572,2260,2005
2.5,4,0,Loft,Bella Vista,1,171,2010,568037,2515,1993
5.0,3,2,Loft,Society Hill,0,172,2010,1404626,1870,1905
4.0,1,0,Apartment,Chestnut Hill,1,173,,1320806,6339,1971
5.0,1,1,Townhouse,Chestnut Hill,0,174,,1142784,5071,2019
2.0,1,2,Loft,Northern Liberties,1,175,2020,745940,1502,1994
1.5,4,1,Loft,Fairmount,1,176,2020,395626,4735,1925
4.0,5,1,Mansion,Chestnut Hill,0,177,2015,1219682,3232,1901
4.5,3,1,Row House,Old City,0,178,2020,697321,4306,1945
2.5,1,0,Loft,Old City,0,179,2018,892004,4328,1930
4.5,2,1,Single Family,Northern Liberties,0,180,2015,501976,6716,1972
4.0,4,0,Loft,University City,0,181,2018,381151,2136,2007
3.0,6,1,Row House,Old City,0,182,2018,981321,6929,1910
5.0,4,2,Row House,Chestnut Hill,1,183,2018,334811,6423,1906
2.0,1,0,Row House,Chestnut Hill,1,184,2015,1145492,4570,2009
4.0,1,1,Townhouse,Fishtown,0,185,2020,330096,1746,1957
4.0,5,1,Apartment,Fairmount,0,186,,989076,2659,1956
1.0,5,2,Mansion,Fishtown,1,187,2015,1440428,5397,1918
3.0,2,1,Mansion,Old City,0,188,,656061,2631,1909
5.0,3,1,Mansion,Fishtown,1,189,2010,1110526,5593,1971
5.0,5,2,Single Family,Old City,0,190,2010,436495,3030,1918
1.0,4,0,Loft,Bella Vista,1,191,2010,381619,1063,1999
5.0,3,2,Single Family,Society Hill,0,192,2015,684737,4515,1983
2.5,5,0,Row House,Center City,0,193,2015,769508,4438,1978
5.0,6,2,Row House,Chestnut Hill,0,194,,414316,3531,1970
4.0,3,2,Row House,Rittenhouse Square,1,195,2018,486385,2824,1995
1.0,6,2,Mansion,Old City,1,196,2015,650299,6368,1906
2.5,3,2,Row House,Bella Vista,1,197,2020,1093592,4534,1956
5.0,3,1,Townhouse,Chestnut Hill,1,198,2010,219928,3969,1975
4.5,2,2,Townhouse,Fairmount,0,199,2015,627787,4094,1915
5.0,3,0,Loft,Fishtown,0,200,2018,1410083,5864,1905
4.5,4,2,Loft,Northern Liberties,0,201,2010,1005314,1262,1995
1.5,4,0,Condo,Society Hill,0,202,2018,751814,3822,1936
3.0,4,0,Condo,Bella Vista,1,203,2018,1111312,4178,1955
2.5,5,0,Loft,Fishtown,1,204,2015,1049725,1697,1954
4.0,2,0,Townhouse,Rittenhouse Square,0,205,2018,745712,4446,1928
3.5,1,2,Row House,Bella Vista,0,206,2018,380964,5283,1966
3.0,6,0,Single Family,Fishtown,0,207,2020,468258,5815,1994
4.0,6,2,Townhouse,Fishtown,0,208,2015,1385818,3898,1902
2.0,2,1,Townhouse,Society Hill,0,209,2018,1397113,5713,2009
4.5,3,2,Condo,Northern Liberties,0,210,,932040,2615,2016
4.5,5,0,Apartment,Northern Liberties,1,211,2010,1324463,5546,1909
2.5,4,1,Single Family,Northern Liberties,1,212,2018,250882,1583,1932
3.0,1,1,Single Family,Society Hill,1,213,2015,608027,6881,2018
2.0,2,2,Loft,Fishtown,1,214,2020,249861,6428,1943
2.0,1,1,Apartment,Fairmount,1,215,2010,1072642,5108,1985
2.5,3,2,Condo,Fishtown,0,216,2010,1432564,6135,1920
4.5,4,2,Mansion,Northern Liberties,1,217,2015,402179,4406,1992
3.0,5,1,Single Family,Society Hill,0,218,2018,171153,5899,1930
1.5,5,2,Condo,Society Hill,0,219,2010,520901,1812,1991
4.0,1,2,Loft,Bella Vista,1,220,2015,463307,5038,2007
2.5,6,1,Condo,University City,0,221,2018,872795,6321,1947
1.5,6,2,Mansion,Fairmount,1,222,2010,895638,4814,1902
4.0,5,2,Row House,Fairmount,0,223,2015,1059889,4461,1983
5.0,1,1,Loft,Chestnut Hill,0,224,,880955,1744,2008
1.5,2,2,Apartment,University City,0,225,2018,923858,4573,1967
3.5,2,0,Apartment,Bella Vista,1,226,2020,1086756,1265,1909
2.5,6,0,Row House,Chestnut Hill,0,227,,1360161,2237,1904
3.5,2,0,Condo,Rittenhouse Square,0,228,2020,423312,5020,2009
3.5,3,0,Condo,Center City,1,229,2015,320789,2147,2006
2.0,6,1,Single Family,Fairmount,1,230,2015,1346905,940,2011
3.5,4,2,Apartment,Bella Vista,1,231,2010,238807,4408,1937
3.5,3,1,Loft,Bella Vista,1,232,,359734,5598,1918
4.5,6,0,Single Family,Center City,1,233,2018,1117897,6507,1902
4.0,3,1,Single Family,Chestnut Hill,1,234,2018,724251,4229,1901
3.5,2,2,Mansion,University City,1,235,2020,532502,6954,1954
3.0,1,0,Mansion,University City,0,236,2018,226367,5324,1970
1.5,3,0,Loft,Center City,0,237,2020,316993,2235,1919
5.0,2,0,Apartment,Fishtown,0,238,2020,1142337,2393,1983
4.0,4,2,Single Family,Chestnut Hill,1,239,2018,1044019,1526,1992
3.0,4,1,Apartment,Chestnut Hill,0,240,2018,549681,3997,1950
3.5,5,0,Condo,Rittenhouse Square,1,241,2018,992315,5996,1923
1.0,3,2,Loft,Rittenhouse Square,1,242,2015,1320138,6047,1981
3.0,6,0,Condo,Center City,0,243,,1473549,2597,1931
3.5,5,0,Townhouse,Northern Liberties,1,244,2018,722553,2909,2002
1.5,1,1,Single Family,Fishtown,1,245,2020,1258261,2385,1917
3.0,4,0,Single Family,Society Hill,1,246,,609996,1490,1943
1.0,5,2,Apartment,Fishtown,0,247,,317109,6080,1902
1.0,1,0,Single Family,Fairmount,1,248,,652983,2162,1942
4.0,2,2,Townhouse,University City,0,249,,263953,6255,1991
4.0,3,2,Row House,University City,0,250,,185253,952,1938
1.0,1,2,Row House,Fairmount,0,251,2010,490804,4953,1988
4.0,5,0,Mansion,University City,0,252,2015,321295,4020,1905
3.0,1,0,Condo,Rittenhouse Square,1,253,,209749,4613,1926
4.5,1,1,Townhouse,Fairmount,0,254,2018,1228277,3164,1961
3.0,4,0,Mansion,Bella Vista,1,255,2018,457549,3318,1921
4.5,6,2,Mansion,Bella Vista,0,256,2010,154169,4093,1975
5.0,2,0,Condo,Bella Vista,0,257,2015,651434,2324,2010
1.5,3,2,Mansion,Fairmount,0,258,2010,966049,1959,1978
4.0,2,0,Loft,Bella Vista,0,259,,1326932,2488,1990
4.0,2,1,Apartment,Society Hill,1,260,2020,1162730,5603,1945
2.5,4,2,Row House,Society Hill,1,261,2015,1278709,5341,1902
4.0,3,2,Loft,Old City,1,262,2018,293642,2725,1935
1.0,2,0,Loft,University City,0,263,2015,559636,5393,1913
1.0,1,0,Mansion,Old City,0,264,2010,165846,1472,1943
3.5,5,2,Apartment,Society Hill,1,265,2010,1007759,3536,1908
4.0,5,1,Townhouse,Fairmount,1,266,2015,1493563,6926,1987
5.0,3,1,Mansion,Fishtown,0,267,2020,810118,4012,1997
3.5,5,0,Condo,University City,0,268,2010,1198530,6689,1999
1.5,1,2,Condo,Northern Liberties,1,269,2010,998502,6885,1908
2.5,6,0,Loft,Bella Vista,0,270,2018,1063814,4043,1927
5.0,5,1,Single Family,Northern Liberties,0,271,2020,1161261,3689,1920
2.0,4,0,Townhouse,Northern Liberties,1,272,2010,268845,3650,1909
3.0,3,2,Townhouse,Fairmount,0,273,,426133,2520,1993
4.0,3,1,Condo,Center City,1,274,2015,690929,1040,1961
4.0,5,0,Apartment,Northern Liberties,1,275,2018,842021,2570,1932
4.0,4,2,Single Family,University City,0,276,2020,717552,5021,1985
5.0,6,0,Condo,Northern Liberties,1,277,2018,406975,2037,1906
1.0,4,2,Loft,Center City,0,278,2010,447791,6476,1948
3.5,5,0,Row House,Old City,0,279,,497267,6880,1969
1.0,3,0,Single Family,Center City,0,280,,1117203,1770,1967
5.0,2,2,Single Family,Rittenhouse Square,0,281,2020,293184,4564,1990
1.5,3,0,Loft,Chestnut Hill,0,282,2020,190247,2969,1909
4.0,5,0,Condo,Rittenhouse Square,1,283,2018,554916,3964,1990
1.0,2,1,Row House,Fishtown,1,284,2010,802581,5089,2017
3.0,6,2,Single Family,Fishtown,1,285,2010,435236,3750,1974
3.5,2,0,Mansion,Chestnut Hill,0,286,2018,763650,3365,1954
2.0,1,2,Apartment,Chestnut Hill,0,287,2020,701998,2894,1970
3.5,3,0,Condo,Society Hill,1,288,2018,810652,4585,1907
2.0,6,2,Apartment,Center City,0,289,,478582,2121,1952
4.5,5,0,Apartment,Fishtown,1,290,2018,339427,4088,1948
2.0,4,1,Loft,Chestnut Hill,1,291,2015,790393,6800,1915
2.5,4,2,Condo,Society Hill,1,292,,1321103,1939,1922
4.0,4,2,Apartment,Society Hill,0,293,2015,516448,5700,1928
2.5,5,2,Mansion,University City,1,294,2010,644637,6734,1949
2.5,4,1,Townhouse,Chestnut Hill,1,295,2018,863071,1163,1949
2.5,6,1,Row House,Rittenhouse Square,1,296,,325048,2193,1999
2.0,3,1,Row House,Society Hill,1,297,2015,769498,3296,2011
3.0,6,1,Apartment,Center City,1,298,2020,1316694,5186,1921
3.5,3,2,Row House,Rittenhouse Square,0,299,2020,1377150,988,1998
1.5,3,1,Single Family,Northern Liberties,1,300,2020,740257,1580,1986
2.5,2,2,Single Family,Center City,0,301,2020,1047130,6617,1976
3.0,1,2,Loft,Old City,0,302,2015,271735,3296,2016
2.5,1,1,Row House,Rittenhouse Square,0,303,2020,779861,2932,1917
1.5,5,2,Townhouse,Fairmount,1,304,2018,1115098,1355,1973
4.5,5,2,Townhouse,Rittenhouse Square,0,305,2020,1037595,6673,1959
3.0,1,0,Condo,Old City,0,306,2010,888661,5873,2013
3.5,2,1,Loft,Fishtown,1,307,2015,1015276,3431,1933
2.0,4,1,Condo,Fishtown,0,308,2015,1238018,6163,2006
3.5,3,1,Single Family,Society Hill,1,309,2018,614200,6562,1905
3.0,5,1,Loft,Chestnut Hill,0,310,2015,508921,3939,2019
4.0,3,2,Row House,Bella Vista,1,311,,1273435,1482,1974
3.0,2,2,Apartment,Center City,1,312,2015,1372575,6978,1956
2.5,1,0,Mansion,Chestnut Hill,1,313,2015,391911,4791,1914
3.5,5,0,Mansion,Bella Vista,1,314,2010,948294,936,1926
4.0,6,0,Condo,Rittenhouse Square,0,315,2018,536972,2832,2015
4.0,3,1,Mansion,Society Hill,1,316,2018,991808,6585,2010
4.0,1,2,Row House,Rittenhouse Square,0,317,2020,1436993,6828,1922
5.0,4,0,Townhouse,University City,0,318,2010,761907,5705,2002
3.0,4,0,Row House,Fishtown,1,319,2015,1384710,2822,1915
1.0,5,0,Townhouse,Fishtown,0,320,2018,1018821,6214,1972
2.5,4,2,Mansion,Northern Liberties,1,321,2020,456461,4559,1963
1.0,1,0,Condo,Fairmount,1,322,2010,1360398,3243,1969
4.5,2,1,Single Family,Bella Vista,1,323,2010,1249892,5414,2008
3.5,6,0,Loft,Fairmount,1,324,2010,470308,1771,2022
4.0,6,1,Loft,Fishtown,0,325,2020,1274188,1711,1992
4.0,2,1,Townhouse,Bella Vista,1,326,2015,395344,1137,1963
4.0,5,1,Row House,Society Hill,0,327,2020,1208737,5042,1961
2.5,1,2,Condo,Fairmount,0,328,2015,1398021,2341,1924
4.0,3,2,Apartment,Society Hill,0,329,2015,1098222,2970,2011
2.0,4,1,Condo,University City,0,330,,827716,6949,1917
3.0,5,1,Condo,Old City,0,331,2020,531811,3691,1924
1.5,6,0,Single Family,Bella Vista,0,332,,860352,1729,1996
3.5,4,2,Single Family,Center City,0,333,2020,1093894,6985,1932
2.5,6,1,Townhouse,Center City,1,334,2020,1093038,5616,2007
5.0,2,0,Townhouse,Fishtown,1,335,2015,621842,5150,1909
3.5,1,2,Townhouse,University City,0,336,2010,1401111,6157,1912
2.0,1,1,Apartment,Northern Liberties,1,337,,751289,1592,1940
4.5,3,2,Single Family,Northern Liberties,0,338,2020,345139,1474,1965
5.0,6,1,Loft,Old City,1,339,2018,1397805,6366,1980
3.5,1,1,Row House,Old City,1,340,2020,1390199,3240,1930
4.5,6,0,Single Family,Society Hill,0,341,2020,1167519,3024,1989
5.0,1,0,Row House,Chestnut Hill,1,342,2018,996874,1402,1900
4.5,6,2,Apartment,Chestnut Hill,1,343,2015,679331,2145,1900
2.0,3,2,Apartment,Society Hill,1,344,2020,830184,5169,1949
2.0,4,0,Row House,Center City,0,345,,214157,3544,1942
2.0,5,1,Row House,Chestnut Hill,0,346,2020,1205880,5546,1981
2.0,5,1,Townhouse,Old City,0,347,2020,1320617,6183,1938
1.5,3,2,Apartment,Chestnut Hill,0,348,2020,680266,6629,1990
5.0,6,1,Loft,Northern Liberties,1,349,2010,785175,5818,1954
4.5,6,2,Mansion,Chestnut Hill,1,350,2018,175758,6363,1910
2.5,1,0,Single Family,Fishtown,1,351,2010,1266956,2858,1996
3.0,2,0,Row House,Old City,0,352,,1197761,5305,1936
1.5,1,2,Townhouse,University City,0,353,2018,204525,1990,1998
4.5,2,0,Townhouse,Society Hill,1,354,2018,232072,3182,1927
4.0,3,0,Apartment,Rittenhouse Square,0,355,2015,807428,3790,1981
3.0,1,0,Townhouse,Northern Liberties,1,356,2015,1188072,1051,1905
4.5,4,2,Townhouse,Fairmount,0,357,2020,932849,4857,1914
4.5,1,1,Condo,Center City,0,358,2015,748245,2901,2013
2.5,1,1,Row House,Chestnut Hill,1,359,2010,1126056,3084,1906
2.0,2,0,Condo,Fairmount,0,360,,437909,3296,1944
3.0,3,2,Single Family,Society Hill,0,361,2015,429114,1430,1936
4.5,5,1,Mansion,Chestnut Hill,0,362,,1218993,4379,1901
5.0,3,0,Condo,Rittenhouse Square,1,363,2020,450227,6645,1951
4.5,4,1,Single Family,Rittenhouse Square,0,364,2010,1138810,1347,1912
3.5,2,2,Mansion,University City,1,365,2010,1046596,4309,1996
5.0,5,1,Mansion,Society Hill,1,366,2018,783840,3413,1911
2.0,3,1,Single Family,Old City,0,367,2010,454584,1756,2003
4.0,2,1,Apartment,Northern Liberties,1,368,2018,1395619,1525,1999
3.0,2,0,Condo,Rittenhouse Square,0,369,2018,748228,4860,2005
3.0,5,0,Apartment,University City,0,370,2018,229489,5534,2019
4.5,3,0,Mansion,Bella Vista,1,371,2015,1345551,2873,1930
1.0,5,2,Loft,Northern Liberties,1,372,2010,890939,991,1969
1.5,6,1,Mansion,Society Hill,0,373,,741279,6564,1925
1.0,3,0,Townhouse,University City,0,374,2015,616808,6765,1919
2.0,3,0,Apartment,Fishtown,0,375,2015,388771,6639,2018
4.5,5,1,Condo,Bella Vista,0,376,2010,1129740,2858,1914
5.0,3,0,Apartment,Society Hill,0,377,,796659,2103,1991
5.0,2,1,Row House,Fishtown,0,378,2020,293053,3845,2002
5.0,1,2,Row House,Old City,0,379,2015,968406,4513,1924
4.5,5,2,Loft,Old City,0,380,2020,342131,5850,1920
2.5,5,0,Row House,Society Hill,0,381,2020,1015629,3683,1982
3.5,3,2,Mansion,Northern Liberties,1,382,2010,632536,1517,1931
3.5,1,1,Townhouse,University City,0,383,2020,1133759,3360,1979
1.0,4,2,Condo,Northern Liberties,1,384,2018,957004,5214,2012
2.5,4,0,Condo,Old City,1,385,2015,914784,866,1981
4.0,2,2,Row House,Center City,1,386,2020,201432,5274,1962
5.0,5,1,Row House,Fishtown,1,387,2018,1018906,5629,1922
3.5,5,1,Apartment,Chestnut Hill,0,388,2018,596375,2696,2003
3.0,4,0,Townhouse,Rittenhouse Square,1,389,,361951,3674,1959
5.0,1,2,Townhouse,University City,0,390,2018,1160691,6636,1931
3.0,5,1,Mansion,Rittenhouse Square,0,391,2018,890957,3512,1947
1.0,4,1,Apartment,Bella Vista,0,392,,889647,2518,1905
1.0,1,1,Row House,Center City,0,393,2010,887684,2077,1996
3.0,3,0,Condo,Fishtown,0,394,2010,325515,2325,1941
